board_item_code,board_item_name,product_group,manufacturing_site,product_state,legacy_code,board_code_raw,board_gsm,board_width_mm,board_length_mm,fsc,resolved_article_no,price_per_tonne,price_period,price_source,resolved_width_mm,resolved_length_mm,resolved_gsm
BRD/101/NPB/950G/BB,BOARD1310X856/950GSM/TKL/TKL,Various Board,Solidus,RM Sheets Box,,4-15250 /,950.0,1310.0,856.0,Recycled 100%,4-15250,608.0,Apr-26,Mill price: article code,1310.0,856.0,950.0
BRD/101/NPB/950G/BW,BOARD670X1050/950GSM/BK.PE/WTKL.WPE,Various Board,Solidus,RM Sheets Box,,4-15745 /,950.0,670.0,1050.0,Mix 70%,4-15745,978.0,Apr-26,Mill price: article code,670.0,1050.0,950.0
BRD/101/YPB/850G/WB,BOARD779X1172/850GSM/WK.WPE/BK.PE,Various Board,Solidus,RM Sheets Box,4-15863/SHT200209,4-15863 /,850.0,779.0,1172.0,Mix 70%,4-15863/SHT200209,942.0,Apr-26,Mill price: article code,779.0,1172.0,850.0
BRD/101/YPL/1250G/BB,BOARD1550X755/1250GSM/TKL/TKL.WPE,Various Board,Soldius,RM Sheets Box,4-15967/SHT200054,4-15967 /,1250.0,1550.0,755.0,Mix 70%,4-15967,727.0,Apr-26,Mill price: article code,755.0,1550.0,1250.0
BRD/102/YPD/1050G/WB,BOARD 1154 x 918/WHTSTWPE / BRTKLCPE /1050GSM,Various Board,,RM Sheets Box,4-13291, / 4-13291,1050.0,918.0,1154.0,Mix 70%,4-13291,865.0,Apr-26,Mill price: article code,1154.0,918.0,1100.0
BRD001/101/LPB/1000G/BW,BOARD1358x878/1000GSM/BK/TKL.WPE,Various Board,101,RM Sheets Box,4-15614,4-15614,,1358.0,878.0,Mix 70%,4-15614,794.0,Apr-26,Mill price: article code,1358.0,878.0,1000.0
BRD001/101/LPB/1250G/WB,BOARD1358X878/1250GSM/WK/TK.PE,Various Board,101,RM Sheets Box,,,1250.0,1358.0,878.0,Mix 70%,,,,No unambiguous Apr-26 mill match,,,
BRD001/101/LPB/1250G/WW,BOARD876X1360/1250GSM/WKL/TKL.WPE,Various Board,Solidus,RM Sheets Box,4-15357,4-15357 /,1250.0,1360.0,876.0,Mix 70%,4-15357,809.0,Apr-26,Mill price: article code,1360.0,876.0,1250.0
BRD001/101/LPB/1250G/WW(2),BOARD876X680/1250GSM/WKL/TKL.WPE,Various Board,Solidus,RM Sheets Box,4-17075,4-17075 /,1250.0,680.0,876.0,Mix 70%,,,,No unambiguous Apr-26 mill match,,,
BRD001/101/NPB/1000G/BB,BOARD1360X876/1000GSM/TKL/TKL,Various Board,Solidus,RM Sheets Box,4-15443,4-15443 /,1000.0,1360.0,876.0,Recycled 100%,4-15443,610.0,Apr-26,Mill price: article code,1360.0,876.0,1000.0
