article_no,sales_article_code,grade_article,width_mm,length_mm,unit_no,price_per_tonne,board_gsm,article_aliases,price_period
SHT200013/A,30/00/0900/027/027,PACKLINE  900 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,892,991.0,5,610,900,SHT200013/A|SHT200013,Apr-26
SHT200014/A,30/00/1000/027/010,PACKLINE 1000 G/M² TKLINER / WHITE KRAFT  FSC mix 70% CU-COC-810587,1031,914.0,5,664,1000,SHT200014/A|SHT200014,Apr-26
SHT200264/A,30/01/0950/064/083,PACKLINE  950 G/M² SAPINO WHITE KRAFT+WHITE PE /  TKLINER+PE FSC mix 70% CU-COC-,1328,1044.0,5,891,950,SHT200264/A|SHT200264,Apr-26
SHT200554/A LG,30/00/0900/027/087,PACKLINE  900 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,820,1330.0,5,746,900,SHT200554/A|SHT200554,Apr-26
SHT200554/A SG,30/00/0900/027/087,PACKLINE  900 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,1330,820.0,5,746,900,SHT200554/A|SHT200554,Apr-26
SHT200555/A LG,30/00/0800/010/069,PACKLINE  800 G/M² WHITE KRAFT / WHITE KRAFT  WHITE PE NC FSC mix 70% CU-COC-810,828,1340.0,5,786,800,SHT200555/A|SHT200555,Apr-26
SHT200555/A SG,30/00/0800/010/069,PACKLINE  800 G/M² WHITE KRAFT / WHITE KRAFT  WHITE PE NC FSC mix 70% CU-COC-810,1340,828.0,5,786,800,SHT200555/A|SHT200555,Apr-26
095006707109000685,30/01/0950/064/083,PACKLINE  950 G/M² SAPINO WHITE KRAFT+WHITE PE /  TKLINER+PE FSC mix 70% CU-COC-,900,685.0,5,891,950,,Apr-26
4-00387,30/00/0900/027/027,PACKLINE  900 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,706,1096.0,5,610,900,4-00387,Apr-26
4-00426,30/00/0900/027/027,PACKLINE  900 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1080,635.0,5,610,900,4-00426,Apr-26
4-00697,30/00/1000/027/027,PACKLINE 1000 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,750,950.0,5,610,1000,4-00697,Apr-26
4-01048,30/00/0950/027/027,PACKLINE  950 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1240,800.0,5,608,950,4-01048,Apr-26
4-01084,30/00/1000/010/027,PACKLINE 1000 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,686,886.0,5,664,1000,4-01084,Apr-26
4-01205,30/00/1000/027/087,PACKLINE 1000 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,880,1360.0,5,730,1000,4-01205,Apr-26
4-01210,30/00/1000/027/087,PACKLINE 1000 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,760,960.0,5,730,1000,4-01210,Apr-26
4-04486,30/12/0450/000/000,PACKLINE  450 G/M² DR UNLINED / UNLINED  FSC recycled 100% CU-COC-810587,800,1000.0,5,709,450,4-04486,Apr-26
4-05443,30/00/0750/010/020,PACKLINE  750 G/M² WHITE KRAFT / BROWN KRAFT  FSC mix 70% CU-COC-810587,990,595.0,5,703,750,4-05443,Apr-26
4-05700,30/00/0850/010/027,PACKLINE  850 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,950,750.0,5,647,850,4-05700,Apr-26
4-05797,30/00/1000/027/027,PACKLINE 1000 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,980,650.0,5,610,1000,4-05797,Apr-26
4-06036,30/00/0800/010/027,PACKLINE  800 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,1020,710.0,5,662,800,4-06036,Apr-26
4-06037,30/00/0800/027/010,PACKLINE  800 G/M² TKLINER / WHITE KRAFT  FSC mix 70% CU-COC-810587,1010,700.0,5,662,800,4-06037,Apr-26
4-06431,30/00/1000/010/027,PACKLINE 1000 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,886,1372.0,5,664,1000,4-06431,Apr-26
4-06932,30/00/0900/010/010,PACKLINE  900 G/M² WHITE KRAFT / WHITE KRAFT  FSC mix 70% CU-COC-810587,1210,807.0,5,721,900,4-06932,Apr-26
4-07056,30/00/0700/020/020,PACKLINE  700 G/M² BROWN KRAFT / BROWN KRAFT  FSC mix 70% CU-COC-810587,654,992.0,5,805,700,4-07056,Apr-26
4-07886,30/00/1250/017/087,PACKLINE 1250 G/M² WHITE KRAFTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-81,750,950.0,5,809,1250,4-07886,Apr-26
4-08339,30/00/1000/027/087,PACKLINE 1000 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,950,750.0,5,730,1000,4-08339,Apr-26
4-08411,30/00/1000/016/087,PACKLINE 1000 G/M² WHITE TESTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-810,686,916.0,5,763,1000,4-08411,Apr-26
4-08527,30/00/0750/027/010,PACKLINE  750 G/M² TKLINER / WHITE KRAFT  FSC mix 70% CU-COC-810587,976,589.0,5,744,750,4-08527,Apr-26
4-08576,30/00/0800/010/069,PACKLINE  800 G/M² WHITE KRAFT / WHITE KRAFT  WHITE PE NC FSC mix 70% CU-COC-810,992,654.0,5,786,800,4-08576,Apr-26
4-08662,30/01/0850/064/071,PACKLINE  850 G/M² SAPINO WHITE KRAFT+WHITE PE /  BROWN KRAFT+PE FSC mix 70% CU-,558,846.0,5,942,850,4-08662,Apr-26
4-08663,30/01/0850/064/071,PACKLINE  850 G/M² SAPINO WHITE KRAFT+WHITE PE /  BROWN KRAFT+PE FSC mix 70% CU-,1116,708.0,5,942,850,4-08663,Apr-26
4-08732,30/00/0900/016/087,PACKLINE  900 G/M² WHITE TESTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-810,728,1010.0,5,793,900,4-08732,Apr-26
4-08744,30/00/0900/027/087,PACKLINE  900 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,1096,706.0,5,746,900,4-08744,Apr-26
4-08893,30/01/0850/064/071,PACKLINE  850 G/M² SAPINO WHITE KRAFT+WHITE PE /  BROWN KRAFT+PE FSC mix 70% CU-,1028,756.0,5,942,850,4-08893,Apr-26
4-08894,30/01/0850/071/064,PACKLINE  850 G/M²  SAPINO BROWN KRAFT+PE /  WHITE KRAFT+WPE FSC mix 70% CU-COC-,740,1012.0,5,942,850,4-08894,Apr-26
4-09159,30/01/0850/071/064,PACKLINE  850 G/M²  SAPINO BROWN KRAFT+PE /  WHITE KRAFT+WPE FSC mix 70% CU-COC-,1132,700.0,5,942,850,4-09159,Apr-26
4-09296,30/00/1250/027/027,PACKLINE 1250 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,740,940.0,5,626,1250,4-09296,Apr-26
4-09473,30/00/1000/027/027,PACKLINE 1000 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1220,710.0,5,610,1000,4-09473,Apr-26
4-09599,30/00/1000/028/087,PACKLINE 1000 G/M² KRAFTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-810587,785,1158.0,5,794,1000,4-09599,Apr-26
4-09600,30/00/1000/016/087,PACKLINE 1000 G/M² WHITE TESTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-810,795,1168.0,5,763,1000,4-09600,Apr-26
4-09829,30/00/0900/010/027,PACKLINE  900 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,1240,720.0,5,664,900,4-09829,Apr-26
4-09873,30/00/1000/016/087,PACKLINE 1000 G/M² WHITE TESTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-810,685,1224.0,5,763,1000,4-09873,Apr-26
4-09874,30/00/1000/027/087,PACKLINE 1000 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,1204,680.0,5,730,1000,4-09874,Apr-26
4-10111,30/00/0800/010/027,PACKLINE  800 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,1090,645.0,5,662,800,4-10111,Apr-26
4-10793,30/00/1250/016/027,PACKLINE 1250 G/M² WHITE TESTLINER / TKLINER  FSC mix 70% CU-COC-810587,710,940.0,5,662,1250,4-10793,Apr-26
4-11140,30/01/0950/064/083,PACKLINE  950 G/M² SAPINO WHITE KRAFT+WHITE PE /  TKLINER+PE FSC mix 70% CU-COC-,830,552.0,5,891,950,4-11140,Apr-26
4-11249,30/00/1000/010/027,PACKLINE 1000 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,920,1015.0,5,664,1000,4-11249,Apr-26
4-11258,30/00/1250/027/027,PACKLINE 1250 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1360,880.0,5,626,1250,4-11258,Apr-26
4-11276,30/00/0850/010/027,PACKLINE  850 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,808,1256.0,5,647,850,4-11276,Apr-26
4-11287,30/00/1250/016/027,PACKLINE 1250 G/M² WHITE TESTLINER / TKLINER  FSC mix 70% CU-COC-810587,886,1372.0,5,662,1250,4-11287,Apr-26
4-11470,30/00/0850/027/027,PACKLINE  850 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1140,650.0,5,625,850,4-11470,Apr-26
4-11483,30/00/1250/017/087,PACKLINE 1250 G/M² WHITE KRAFTLINER /  TKLINER+WHITE PE-NC FSC mix 70% CU-COC-81,1372,886.0,5,809,1250,4-11483,Apr-26
4-11572,30/00/0900/027/087,PACKLINE  900 G/M² TKLINER / TKLINER+WHITE PE-NC  FSC recycled 100% CU-COC-81058,800,1200.0,5,746,900,4-11572,Apr-26
4-11638,30/00/1250/016/027,PACKLINE 1250 G/M² WHITE TESTLINER / TKLINER  FSC mix 70% CU-COC-810587,910,1420.0,5,662,1250,4-11638,Apr-26
4-11659,30/00/1250/016/027,PACKLINE 1250 G/M² WHITE TESTLINER / TKLINER  FSC mix 70% CU-COC-810587,886,1372.0,5,662,1250,4-11659,Apr-26
4-11860,30/01/0950/080/067,PACKLINE  950 G/M² SAPINO KRAFTLINER+PE /   WHITE TESTL.+WHITE  PE FSC mix 70% C,700,1100.0,5,978,950,4-11860,Apr-26
4-11872,30/00/1050/027/027,PACKLINE 1050 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1086,936.0,5,615,1050,4-11872,Apr-26
4-11926,30/00/1050/027/027,PACKLINE 1050 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1010,900.0,5,615,1050,4-11926,Apr-26
4-11931,30/00/0700/010/020,PACKLINE  700 G/M² WHITE KRAFT / BROWN KRAFT  FSC mix 70% CU-COC-810587,1020,710.0,5,807,700,4-11931,Apr-26
4-11932,30/00/0900/027/027,PACKLINE  900 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1010,700.0,5,610,900,4-11932,Apr-26
4-12025,30/00/0600/010/020,PACKLINE  600 G/M² WHITE KRAFT / BROWN KRAFT  FSC mix 70% CU-COC-810587,788,1186.0,5,838,600,4-12025,Apr-26
4-12026,30/00/0850/027/027,PACKLINE  850 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1170,780.0,5,625,850,4-12026,Apr-26
4-12086,30/00/1000/027/027,PACKLINE 1000 G/M² TKLINER / TKLINER  FSC recycled 100% CU-COC-810587,1268,834.0,5,610,1000,4-12086,Apr-26
4-12087,30/00/1000/010/027,PACKLINE 1000 G/M² WHITE KRAFT / TKLINER  FSC mix 70% CU-COC-810587,1276,837.0,5,664,1000,4-12087,Apr-26
4-12099,30/00/1100/067/067,PACKLINE 1100 G/M² WHITE TESTLINER+WHITE PE/  WHITE TESTL.+WHITE PE FSC mix 70%,800,1064.0,5,855,1100,4-12099,Apr-26
4-13051,30/00/0800/064/064,PACKLINE  800 G/M² WHITE KRAFT+WHITE PE /  WHITE KRAFT+WHITE PE FSC mix 70% CU-C,800,980.0,5,916,800,4-13051,Apr-26
