bom_code,bom_description,cost_type,process_group,machine_bucket,source_line_type,line_sequence,operation_reference,operation_description,cost_code,cost_description,unit_of_measure,quantity,run_hours,system_quantity_per_run,override_speed,effective_quantity_per_run,supplier_list_price,standard_cost,fallback_last_price,cost_rate,unit_cost,extended_cost,is_informational_row,bom_print_machine,bom_die_cut_machine,bom_fold_glue_machine,bom_other_machine,bom_machine_total,bom_labour,bom_materials,bom_total_unit_cost
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,0,1,,,0-FACTORY/101/BANDING/01,Factory Banding 101,COIL,0.03,,,,,41.39,0,36.2,,41.39,1.2417,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,0,2,,,0-FACTORY/101/LAYERCARD,Factory Layercard 101 Testliner 150GSM 1100x930,1000,0.004,,,,,187,0,210,,187,0.748,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,0,3,,,0-FACTORY/101/STRETCHWRAP,STRETCHWRAP,Tonne,1e-05,,,,,2440,0,2440,,2440,0.0244,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,0,4,,,0-PALLETS/101/Std1000x1200,Pallet 1000x1200 101,1000,0.001,,,,,4750,0,4750,,4750,4.75,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,0,5,,,0-TOPSHEET/101/1500mmx50UMS,Topsheet 101,Tonne,1e-05,,,,,2347,0,1820,,2347,0.02347,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,2,6,,,BRD001/101/LPB/1000G/BW,BOARD1358x878/1000GSM/BK/TKL.WPE,Tonne,0.596,,,,,794,0,730,,794,473.224,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Material,,,0,7,,,PLASTOMELT9799,PLASTOMELT9799,Tonne,0.003,,,,,2750,0,2518.65105,,2750,8.25,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Labour,Diecutter,,0,20,DIE CUTTING,DIE CUTTING,101 DIE CUTTER OPERATOR,101 Die Cutter Operator,,,1,8,6.671371,6.671371,,,,136.57,136.57,20.47105,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Machine,Diecutter,Die Cut,0,20,DIE CUTTING,DIE CUTTING,101 DIE CUTTER #1,101 Die Cutter #1,,,1,8,6.671371,6.671371,,,,177.99,177.99,26.67967,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Labour,Folder Gluer,,0,30,FOLDER GLUER,FOLDER GLUER,101 FOLDER GLUER OPERATOR,101 Folder Gluer Operator,,,1,10,4.423527,4.423527,,,,135.43,135.43,30.61584,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1000G/1240P,BOX001/101/LPB/1000G/1240P,Machine,Folder Gluer,Fold Glue,0,30,FOLDER GLUER,FOLDER GLUER,101 FOLDER GLUER OMEGA,101 Folder Gluer Omega,,,1,10,4.423527,4.423527,,,,177.99,177.99,40.23712,0,0,26.68,40.24,0,66.92,51.09,488.26,606.27
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,1,,,0-FACTORY/101/BANDING/01,Factory Banding 101,COIL,0.03,,,,,41.39,0,36.2,,41.39,1.2417,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,2,,,0-FACTORY/101/LAYERCARD,Factory Layercard 101 Testliner 150GSM 1100x930,1000,0.004,,,,,187,0,210,,187,0.748,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,3,,,0-FACTORY/101/STRETCHWRAP,STRETCHWRAP,Tonne,1e-05,,,,,2440,0,2440,,2440,0.0244,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,4,,,0-PALLETS/101/Std1000x1200,Pallet 1000x1200 101,1000,0.001,,,,,4750,0,4750,,4750,4.75,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,5,,,0-TOPSHEET/101/1500mmx50UMS,Topsheet 101,Tonne,1e-05,,,,,2347,0,1820,,2347,0.02347,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,6,,,BRD001/101/LPB/1250G/WW,BOARD876X1360/1250GSM/WKL/TKL.WPE,Tonne,0.73466,,,,,809,0,809,,809,594.33994,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Material,,,0,7,,,PLASTOMELT9799,PLASTOMELT9799,Tonne,0.003,,,,,2750,0,2518.65105,,2750,8.25,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Labour,Diecutter,,0,20,DIE CUTTING,DIE CUTTING,101 DIE CUTTER OPERATOR,101 Die Cutter Operator,,,1,8,6.674644,6.674644,,,,136.57,136.57,20.46102,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Machine,Diecutter,Die Cut,0,20,DIE CUTTING,DIE CUTTING,101 DIE CUTTER #3,101 Die Cutter #3,,,1,8,6.674644,6.674644,,,,177.99,177.99,26.66659,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Labour,Folder Gluer,,0,30,FOLDER GLUER,FOLDER GLUER,101 FOLDER GLUER OPERATOR,101 Folder Gluer Operator,,,1,10,6.354603,6.354603,,,,135.43,135.43,21.31211,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/LPB/1250G/1000P,BOX001/101/LPB/1250G/1000P,Machine,Folder Gluer,Fold Glue,0,30,FOLDER GLUER,FOLDER GLUER,101 FOLDER GLUER DOMINO,101 Folder Gluer Domino,,,1,10,6.354603,6.354603,,,,177.99,177.99,28.00962,0,0,26.67,28.01,0,54.68,41.77,609.38,705.83
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,1,,,0-FACTORY/101/BANDING/01,Factory Banding 101,COIL,0.03,,,,,41.39,0,36.2,,41.39,1.2417,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,2,,,0-FACTORY/101/LAYERCARD,Factory Layercard 101 Testliner 150GSM 1100x930,1000,0.004,,,,,187,0,210,,187,0.748,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,3,,,0-FACTORY/101/STRETCHWRAP,STRETCHWRAP,Tonne,1e-05,,,,,2440,0,2440,,2440,0.0244,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,4,,,0-PALLETS/101/Std1000x1200,Pallet 1000x1200 101,1000,0.001,,,,,4750,0,4750,,4750,4.75,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,5,,,0-TOPSHEET/101/1500mmx50UMS,Topsheet 101,Tonne,1e-05,,,,,2347,0,1820,,2347,0.02347,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,6,,,BRD001/101/NPB/1050G/BB,BOARD1360X876/1050GSM/TKL/TKL,Tonne,0.59568,,,,,615,0,577,,615,366.3432,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Material,,,0,7,,,PLASTOMELT9799,PLASTOMELT9799,Tonne,0.003,,,,,2750,0,2518.65105,,2750,8.25,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Labour,Diecutter,,0,20,DIE CUTTING,DIE CUTTING,101 DIE CUTTER OPERATOR,101 Die Cutter Operator,,,1,8,6.645214,6.645214,,,,136.57,136.57,20.55163,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Machine,Diecutter,Die Cut,0,20,DIE CUTTING,DIE CUTTING,101 DIE CUTTER #1,101 Die Cutter #1,,,1,8,6.645214,6.645214,,,,177.99,177.99,26.78469,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Labour,Folder Gluer,,0,30,FOLDER GLUER,FOLDER GLUER,101 FOLDER GLUER OPERATOR,101 Folder Gluer Operator,,,1,10,5.751287,5.751287,,,,135.43,135.43,23.54777,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPB/1050G/1000P,BOX001/101/NPB/1050G/1000P,Machine,Folder Gluer,Fold Glue,0,30,FOLDER GLUER,FOLDER GLUER,101 FOLDER GLUER DOMINO,101 Folder Gluer Domino,,,1,10,5.751287,5.751287,,,,177.99,177.99,30.94786,0,0,26.78,30.95,0,57.73,44.1,381.38,483.21
BOX001/101/NPBH/1000G/1000P,BOX001/101/NPBH/1000G/1000P,Material,,,0,1,,,0-FACTORY/101/BANDING/01,Factory Banding 101,COIL,0.03,,,,,41.39,0,36.2,,41.39,1.2417,0,0,27.43,29.41,0,56.84,43.43,378.6,478.87
BOX001/101/NPBH/1000G/1000P,BOX001/101/NPBH/1000G/1000P,Material,,,0,2,,,0-FACTORY/101/LAYERCARD,Factory Layercard 101 Testliner 150GSM 1100x930,1000,0.004,,,,,187,0,210,,187,0.748,0,0,27.43,29.41,0,56.84,43.43,378.6,478.87
BOX001/101/NPBH/1000G/1000P,BOX001/101/NPBH/1000G/1000P,Material,,,0,3,,,0-FACTORY/101/STRETCHWRAP,STRETCHWRAP,Tonne,1e-05,,,,,2440,0,2440,,2440,0.0244,0,0,27.43,29.41,0,56.84,43.43,378.6,478.87
