item_code,item_name,description,product_group,manufacturing_site,net_mass_kg,allow_sales_order,legacy_code,double_stack,pallet_size,mrp_type,length_mm,width_mm,height_mm,board_gsm,board_width_mm,board_length_mm,bundle_quantity,bundles_per_layer,layers_per_pallet,pallet_height_mm,product_state,number_of_colours,fsc,pallet_quantity,board_code,market_segment,bom_available
BOX001/101/LPB/1000G/1240P,UPBASE - LEAKPROOF - 574mm x 376mm x 149mm 1000GSM 1240/Plt,UNPRINTED BASE - LEAKPROOF - 574mm x 376mm x 149mm 1000GSM 1240 Per Pallet BK/TKL.WPE,Leakproof Base,101,0.597,1,BOX001/574X376X149/1010/LPKRAF,N,1000x1200,MTS,578.0,380.0,150.0,1000.0,1358.0,878.0,31.0,10.0,4.0,,FG Box,0.0,Mix 70%,1240.0,4-15614 /,Meat & Poultry,1
BOX001/101/LPB/1250G/1000P,UNPRINTED BASE - LEAKPROOF - 574mm X 376mm X 149mm 1000 Per,UNPRINTED BASE - LEAKPROOF - 574mm X 376mm X 149mm 1000 Per Pallet 1250GSM,Leakproof Base,101,0.7347,1,BOX001/574X376X149/1250/LPBASE,N,1000x1200,MTS,574.0,376.0,149.0,1250.0,1360.0,876.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15357 /,Meat & Poultry,1
BOX001/101/NPB/1000G/1000P,**REPLACED WITH BOX001/101/NPB/1050G/1000P**,**REPLACED WITH BOX001/101/NPB/1050G/1000P**,Glud Base 4PT No Pol,101,0.5957,1,BOX001/NOPOLYEUROBASE/1000GSM,N,1000x1200,BASE,576.0,380.0,150.0,1000.0,0.0,0.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,,Meat & Poultry,0
BOX001/101/NPB/1050G/1000P,UNPRINTED BASE - NO POLY (NO HOLES) EURO 576mm x 380mm x 150,UNPRINTED BASE - NO POLY (NO HOLES) EURO 576mm x 380mm x 150mm 1050GSM 1000 Per Pallet,Glud Base 4PT No Pol,101,0.5957,1,BOX001/NOPOLYEUROBASE/1000GSM,N,1000x1200,MTS,576.0,380.0,150.0,1000.0,1360.0,876.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15264 /,Meat & Poultry,1
BOX001/101/NPB/1200G/1000P,UNPRINTED BASE - NO POLY EURO 576mm x 380mm x 150mm 1200GSM,UNPRINTED BASE - NO POLY EURO 576mm x 380mm x 150mm 1200GSM 1000 Per Pallet BK/BK,Glud Base 4PT No Pol,101,0.7148,1,BOX001/NOPOLYEUROBASE/1200GSM,N,1000x1200,BASE,576.0,380.0,150.0,1200.0,0.0,0.0,20.0,10.0,5.0,,FG Box,0.0,Mix 70%,1000.0,Inactive /,Meat & Poultry,0
BOX001/101/NPBH/1000G/1000P,UNPRINTED BASE - NO POLY (HOLES) 576mm x 380mm x 150mm 1000G,UNPRINTED BASE - NO POLY (HOLES) 576mm x 380mm x 150mm 1000GSM 1000 Per Pallet,Glud Base 4PT No Pol,101,0.5957,1,BOX001/NOPOLYEUROBASE/HOLES,N,1000x1200,MTS,576.0,380.0,150.0,1000.0,1360.0,876.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15443 /,Meat & Poultry,1
BOX001/101/NPL/1000G/1000P,UNPRINTED LID - NO POLY (NO HOLES) 585mm x 390mm x 150mm 100,UNPRINTED LID - NO POLY (NO HOLES) 585mm x 390mm x 150mm 1000GSM 1000 Per Pallet,Glued Lid 4PT No Pol,101,0.6107,1,,N,1000x1200,MTS,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15244 /,Meat & Poultry,1
BOX001/101/NPL/D9999/01/1000G,PRINTED LID - STD LID HPB (UK) PIC NP 583x385x156,PRINTED LID - STD LID HEREFORD PRIME BEEF (UK) 583 x 385 x 156 1000GSM 700 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,HPK222226/SRH,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,,,FG Box,901.0,Mix 70%,700.0,4-15867,Meat & Poultry,1
BOX001/101/NPL/D9999/02/1000G,PRINTED LID - STD LID CALEDONIAN CROWN SB 583x385x156 1000G,PRINTED LID - STD LID CALEDONIAN CROWN SB 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/01/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/03/1000G,PRINTED LID - STD LID PREMIUM BUTCHER 583x385x156 1000G 750P,PRINTED LID - STD LID PREMIUM BUTCHER 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/02/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,400.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/04/1000G,PRINTED LID - STD LID BROWN DUNBIA NO POLY 583x385x156 1000G,PRINTED LID - STD LID DUNBIA 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/04/1000G,N,1000x1200,MTC,583.0,385.0,156.0,1000.0,1410.0,922.0,25.0,10.0,3.0,,FG Box,101.0,Mix 70%,750.0,4-16794 /,Meat & Poultry,1
BOX001/101/NPL/D9999/10/950G,PRINTED LID -EURO LID GREEN PASTURES NO POLY 590 x 390 x 150,PRINTED LID - *obsolete print Dec 24* EURO LID GREEN PASTURES NO POLY 590 x 390 x 150 950GSM 750 Per Pallet NW/WK,Glued Lid 4PT No Pol,,0.5834,1,BOX001/102/NPL/D9999/10/950G,N,1000x1200,MTO,590.0,390.0,150.0,950.0,1390.0,910.0,25.0,10.0,3.0,1320.0,FG Box,901.0,Mix 70%,750.0,SHT200744/A /,Meat & Poultry,1
BOX001/101/NPL/D9999/11/950G,PRINTED LID - EURO LID PURE NATURE NO POLY 590 x 390 x 150,PRINTED LID - EURO LID PURE NATURE 590 x 390 x 150 950GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.5834,1,BOX001/102/NPL/D9999/11/950G,N,1000x1200,MTC,590.0,390.0,150.0,950.0,1390.0,910.0,25.0,10.0,3.0,2100.0,FG Box,901.0,Mix 70%,750.0,SHT200744/A /,Meat & Poultry,1
BOX001/101/NPL/D9999/12/1000G,PRINTED LID - STD LID ANGUS 1808 NO POLY 583 x 385 x 156,PRINTED LID - STD LID ANGUS 1808 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/12/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/14/1000G,PRINTED LID - STD LID BLACK ANGUS NO POLY 583 x 385 x 156,PRINTED LID - STD LID BLACK ANGUS 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,BOX001/102/NPL/D9999/14/1000G,N,1000x1200,MTC,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,201.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
