zone,service,vendor,source_sheet_row,pallet_1,pallet_2,pallet_3,pallet_4,pallet_5,pallet_6,pallet_7,pallet_8,pallet_9,pallet_10,pallet_11,pallet_12,pallet_13,pallet_14,pallet_15,pallet_16,pallet_17,pallet_18,pallet_19,pallet_20,pallet_21,pallet_22,pallet_23,pallet_24,pallet_25,pallet_26
BD,Next Day,Joda,4,46,78,99,122,140,162,182,193,204,210,210,210,210,250,250,250,250,250,250,250,250,250,250,250,250,250
BD,Next Day,McDowells,5,54,93,107,129,131,139,153,178,186,195,197,202,208,213,218,225,233,233,233,233,233,233,233,233,233,233
BD,Economy,Joda,6,39,70,84,102,123,146,182,193,204,210,210,210,210,250,250,250,250,250,250,250,250,250,250,250,250,250
BD,Economy,McDowells,7,47,86,102,126,127,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
HD,Next Day,Joda,8,46,78,99,122,140,162,204,238,250,273,284,295,307,318,329,343,343,343,343,343,343,343,343,343,343,343
HD,Next Day,McDowells,9,54,93,107,129,131,139,153,178,186,195,197,202,208,213,218,225,233,233,233,233,233,233,233,233,233,233
HD,Economy,Joda,10,39,70,84,102,123,146,204,238,250,273,284,295,307,318,329,343,343,343,343,343,343,343,343,343,343,343
HD,Economy,McDowells,11,47,86,102,126,127,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
HX,Next Day,Joda,12,46.0616,78.19760000000001,98.55040000000001,122.1168,140.3272,161.7512,204.38496,238.44912,249.80384,272.51328,283.8680000000001,295.22272,306.57744,317.93216,329.28688,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784
HX,Next Day,McDowells,13,54,93,107,129,131,139,153,178,186,195,197,202,208,218,234,250,250,258,258,258,258,258,258,258,258,258
HX,Economy,Joda,14,38.5632,69.62800000000001,83.5536,101.764,123.188,145.6832,204.38496,238.44912,249.80384,272.51328,283.8680000000001,295.22272,306.57744,317.93216,329.28688,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784,342.784
HX,Economy,McDowells,15,47,86,102,126,127,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
LS,Next Day,Joda,16,46,78,99,122,140,162,204,238,250,273,284,295,307,318,329,361,361,361,361,361,361,361,361,361,361,361
LS,Next Day,McDowells,17,54,93,107,129,131,139,153,178,186,195,197,202,208,213,218,225,233,233,233,233,233,233,233,233,233,233
LS,Economy,Joda,18,39,70,84,102,123,146,204,238,250,273,284,295,307,318,329,361,361,361,361,361,361,361,361,361,361,361
LS,Economy,McDowells,19,47,86,102,126,127,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
WF,Next Day,Joda,20,46,78,99,122,140,162,204,238,250,273,284,295,307,318,329,375,375,375,375,375,375,375,375,375,375,375
WF,Next Day,McDowells,21,54,93,107,129,131,139,153,178,186,195,197,202,208,213,218,225,233,233,233,233,233,233,233,233,233,233
WF,Economy,Joda,22,39,70,84,102,123,146,204,238,250,273,284,295,307,318,329,375,375,375,375,375,375,375,375,375,375,375
WF,Economy,McDowells,23,47,86,102,126,127,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
BB,Next Day,Joda,24,60,105,152,199,222,264,257,273,295,341,352,363,375,400,400,400,400,400,400,400,400,400,400,400,400,400
BB,Next Day,McDowells,25,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
BB,Economy,Joda,26,52,92,136,177,196,236,257,273,295,341,352,363,375,400,400,400,400,400,400,400,400,400,400,400,400,400
BB,Economy,McDowells,27,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
BL,Next Day,Joda,28,60,105,152,199,222,264,257,273,295,341,352,363,375,400,400,400,400,400,400,400,400,400,400,400,400,400
BL,Next Day,McDowells,29,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
BL,Economy,Joda,30,52,92,136,177,196,236,257,273,295,341,352,363,375,400,400,400,400,400,400,400,400,400,400,400,400,400
BL,Economy,McDowells,31,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
HG,Next Day,Joda,32,62,117,174,230,252,296,295,295,307,318,329,341,352,363,375,397,397,397,397,397,397,397,397,397,397,397
HG,Next Day,McDowells,33,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
HG,Economy,Joda,34,57,108,159,208,225,271,295,295,307,318,329,341,352,363,375,397,397,397,397,397,397,397,397,397,397,397
HG,Economy,McDowells,35,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
M,Next Day,Joda,36,60,105,152,199,222,258,257,273,295,341,352,363,397,400,400,400,400,400,400,400,400,400,400,400,400,400
M,Next Day,McDowells,37,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
M,Economy,Joda,38,52,92,136,177,196,236,257,273,295,341,352,363,397,400,400,400,400,400,400,400,400,400,400,400,400,400
M,Economy,McDowells,39,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
OL,Next Day,Joda,40,60,105,152,199,222,253,257,273,295,341,352,363,397,400,400,400,400,400,400,400,400,400,400,400,400,400
OL,Next Day,McDowells,41,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
OL,Economy,Joda,42,52,92,136,177,196,236,257,273,295,341,352,363,397,400,400,400,400,400,400,400,400,400,400,400,400,400
OL,Economy,McDowells,43,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
S,Next Day,Joda,44,60,116,169,220,236,269,273,273,295,341,352,363,397,400,415,415,415,415,415,415,415,415,415,415,415,415
S,Next Day,McDowells,45,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
S,Economy,Joda,46,52,101,149,197,207,242,273,273,295,341,352,363,397,400,415,415,415,415,415,415,415,415,415,415,415,415
S,Economy,McDowells,47,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
SK,Next Day,Joda,48,60,106,154,205,225,251,250,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
SK,Next Day,McDowells,49,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
SK,Economy,Joda,50,52,96,140,184,205,242,250,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
SK,Economy,McDowells,51,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
WN,Next Day,Joda,52,60,107,154,204,227,258,252,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
WN,Next Day,McDowells,53,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
WN,Economy,Joda,54,52,92,136,177,196,236,252,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
WN,Economy,McDowells,55,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
B,Next Day,Joda,56,57,114,165,171,229,268,300,342,385,428,471,513,521,521,521,589,589,589,589,589,589,589,589,589,589,589
B,Next Day,McDowells,57,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
B,Economy,Joda,58,51,101,149,195,209,251,300,342,385,428,471,513,521,521,521,589,589,589,589,589,589,589,589,589,589,589
B,Economy,McDowells,59,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
CW,Next Day,Joda,60,60,116,169,222,228,270,311,355,400,402,402,402,402,402,402,511,511,511,511,511,511,511,511,511,511,511
CW,Next Day,McDowells,61,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
CW,Economy,Joda,62,52,101,151,197,211,246,311,355,400,402,402,402,402,402,402,511,511,511,511,511,511,511,511,511,511,511
CW,Economy,McDowells,63,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DE,Next Day,Joda,64,60,114,169,221,236,275,318,355,400,444,463,463,463,463,463,536,536,536,536,536,536,536,536,536,536,536
DE,Next Day,McDowells,65,57,114,171,208,230,269,283,319,332,368,379,389,400,410,426,436,441,446,446,446,446,446,446,446,446,446
DE,Economy,Joda,66,52,102,150,198,210,252,318,355,400,444,463,463,463,463,463,536,536,536,536,536,536,536,536,536,536,536
DE,Economy,McDowells,67,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DN 1-14,Next Day,Joda,68,60,115,170,223,230,271,284,318,341,375,386,397,409,420,431,439,439,439,439,439,439,439,439,439,439,439
DN 1-14,Next Day,McDowells,69,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
DN 1-14,Economy,Joda,70,52,103,152,197,209,244,284,318,341,375,386,397,409,420,431,439,439,439,439,439,439,439,439,439,439,439
DN 1-14,Economy,McDowells,71,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DN 15-25,Next Day,Joda,72,60,115,170,223,230,271,318,341,441,397,409,420,431,443,454,454,454,454,454,454,454,454,454,454,454,454
DN 15-25,Next Day,McDowells,73,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
