item_code,materials_cost_per_1000,board_item_code,board_article_code,board_price_per_tonne,board_price_period,board_price_source,board_tonnes_per_1000,board_cost_per_1000,other_components_cost_per_1000,material_cost_source,machine_hours_per_1000,machine_time_source
0-FACTORY/102/EUROLAYERCARD,805.8819,,,0.0,,No BOM board component,0.0,0.0,805.8819,Automatic board and BOM component calculation,1.0,BOM operation speeds
0-SAMPLES,742.3309,BRD001/103/YPL/950G/WB,,736.3309,,BOM material fallback (machine/labour removed),1.0,736.3309,6.0,Automatic board and BOM component calculation,0.125,BOM operation speeds
BOX001/101/LPB/1000G/1240P,488.2616,BRD001/101/LPB/1000G/BW,4-15614,794.0,Apr-26,Mill price: article code,0.596,473.224,15.0376,Automatic board and BOM component calculation,0.375958,BOM operation speeds
BOX001/101/LPB/1250G/1000P,609.3775,BRD001/101/LPB/1250G/WW,4-15357,809.0,Apr-26,Mill price: article code,0.73466,594.3399,15.0376,Automatic board and BOM component calculation,0.307187,BOM operation speeds
BOX001/101/NPB/1050G/1000P,381.3808,BRD001/101/NPB/1050G/BB,4-15264,615.0,Apr-26,Mill price: article code,0.59568,366.3432,15.0376,Automatic board and BOM component calculation,0.324358,BOM operation speeds
BOX001/101/NPBH/1000G/1000P,378.5976,BRD001/101/NPB/1000G/BB,4-15443,610.0,Apr-26,Mill price: article code,0.596,363.56,15.0376,Automatic board and BOM component calculation,0.319356,BOM operation speeds
BOX001/101/NPL/1000G/1000P,420.5092,BRD001/101/NPL/1000G/WB,4-15244,664.0,Apr-26,Mill price: article code,0.61065,405.4716,15.0376,Automatic board and BOM component calculation,0.346343,BOM operation speeds
BOX001/101/NPL/D9999/01/1000G,457.5815,BRD001/103/NPL/1000G/WW,4-15867/SHT222226,706.0,Apr-26,Mill price: article code,0.6238,440.4028,17.1787,Automatic board and BOM component calculation,0.391667,BOM operation speeds
BOX001/101/NPL/D9999/02/1000G,468.8396,BRD001/NPL/D9999/01/1000G/WW,4-15867/SHT222226,706.0,Apr-26,Mill price: unique size/GSM,0.6486,457.9116,10.928,Automatic board and BOM component calculation,0.552632,BOM operation speeds plus rolled-child machine time
BOX001/101/NPL/D9999/03/1000G,470.4397,BRD001/NPL/D9999/02/1000G/WW,4-15867/SHT222226,706.0,Apr-26,Mill price: article code,0.6486,457.9116,12.5281,Automatic board and BOM component calculation,0.599585,BOM operation speeds plus rolled-child machine time
BOX001/101/NPL/D9999/04/1000G,516.441,BRD001/NPL/D9999/04/1000G/BB,,801.1203,,BOM material fallback (machine/labour removed),0.6238,499.7389,16.7021,Automatic board and BOM component calculation,0.478245,BOM operation speeds plus rolled-child machine time
